GICS Sector,size,date
Communication Services,22,2025-01-28
Consumer Discretionary,50,2025-01-28
Consumer Staples,38,2025-01-28
Energy,22,2025-01-28
Financials,73,2025-01-28
Health Care,61,2025-01-28
Industrials,78,2025-01-28
Information Technology,69,2025-01-28
Materials,28,2025-01-28
Real Estate,31,2025-01-28
Utilities,31,2025-01-28
